"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_I",1,44,2.2304385498443,0.123967709645226,"[0.57, 3.89]",0.569312757833314,3.8860000731683,0.812910634997087,0.049924329144739
"2","facebook_I",2,53,1.86504945572793,0.0800631215587754,"[0.69, 3.03]",0.693445686133277,3.0326674024797,0.577343380107742,0.0352920048137566
"3","facebook_I",3,62,2.62065070349456,0.0851289831014833,"[1.28, 3.96]",1.28159420891883,3.96231471522362,0.664878612678623,0.0405098760773943
"4","ooh_S",1,44,1.49548255109569,0.0116624100368696,"[1.34, 1.65]",1.33919596341391,1.65121727562673,0.0764755368619747,0.00469669076703804
"5","ooh_S",2,53,1.47706644340484,0.00821030148480911,"[1.36, 1.6]",1.35693675515272,1.59681892758235,0.0592053259809947,0.0036191194382992
"6","ooh_S",3,62,1.53367747481675,0.00772081751302314,"[1.41, 1.66]",1.41226726280586,1.65539660699085,0.0603015124788234,0.00367406433477406
"7","print_S",1,44,9.74196520052782,0.0127867845910651,"[9.57, 9.91]",9.57095973344521,9.91306306324356,0.0838485538794013,0.00514949936926415
"8","print_S",2,53,9.80561086494387,0.010118246750308,"[9.66, 9.95]",9.6577597444975,9.95338677063457,0.0729637149520644,0.00446014602061823
"9","print_S",3,62,9.76197003096509,0.00773291176544464,"[9.64, 9.88]",9.64019501757541,9.8837052110234,0.0603959716098788,0.0036798195623005
"10","search_clicks_P",1,44,1.78097273333343,0.0833629426439333,"[0.66, 2.89]",0.664126155319568,2.89445545016091,0.546647371592507,0.0335719599800642
"11","search_clicks_P",2,53,1.62990743017268,0.0609147148953587,"[0.74, 2.52]",0.738667540386484,2.51842607532779,0.439262255970972,0.0268513439079116
"12","search_clicks_P",3,62,2.0335448051709,0.0562969533143902,"[1.15, 2.92]",1.14833568773944,2.92113258597632,0.439693261378248,0.0267897315251856
"13","tv_S",1,44,5.14905185482869,0.00868180705462351,"[5.03, 5.26]",5.0326664960797,5.26494342863465,0.0569304160405451,0.00349634105692969
"14","tv_S",2,53,5.18152761569,0.00576553641923643,"[5.1, 5.27]",5.09766624333627,5.26611918066476,0.041575874380224,0.00254146147564588
"15","tv_S",3,62,5.20310190089686,0.00567735463868728,"[5.11, 5.29]",5.11386236778779,5.29264285413931,0.0443415572268144,0.00270165253338535
