"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_I_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_clicks_P_thetas","tv_S_thetas","facebook_I_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_clicks_P_alphas","tv_S_alphas","facebook_I_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_clicks_P_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_22_2",0,0.0242275271922814,0.0519059742215797,0.0519059742215797,0.973761058271514,0.595052505050302,0.535551795179534,0.526902263172301,0.835632789936502,0.184976159296898,0.111948966556051,0.614412089412563,0.664876446096001,0.0393927387965171,0.926791976176883,0.681017363193059,0.401273530398958,0.339843917610271,0.723428921102796,0.708807338954086,0.600077544938754,0.840168998382235,2,47,FALSE
"2","1_26_4",0,0.0242433381314191,0.0519040176051009,0.0519040176051009,0.973761058271514,0.595052505050302,0.610092134629933,0.590944262151663,0.755448379889801,0.184976159296898,0.111948966556051,0.614412089412563,0.664876446096001,0.0956301713176819,0.933263575732985,0.637190646383419,0.401273530398958,0.339843917610271,0.723428921102796,0.778318542170349,0.75229338611567,0.927478985148461,2,47,FALSE
"3","1_26_6",0,0.0370067476585196,0.0514707229333054,0.0514707229333054,0.534403601977756,0.667056520563063,0.355234232512492,0.838735693581955,0.0392157382898463,0.59662550485182,0.7981217440282,0.533767130464615,0.456911369125449,0.400491721853606,0.577406377385387,0.775260489838641,0.676925639382966,0.124549678937488,0.314986155861326,0.609455940171209,0.10430120717312,0.412730707847512,1,50,FALSE
"4","1_30_3",0,0.0260569455870465,0.0518001897093882,0.0518001897093882,0.966200814345553,0.622586890977695,0.168653480862661,0.730575083139015,0.625779981127017,0.107367862697057,0.760703705178889,0.743556091412232,0.51521817931583,0.383186773925631,0.717052563080548,0.502322431532455,0.664255268640872,0.177709919918453,0.501312111906329,0.608039768950156,0.659423639179538,0.477263567297771,1,50,FALSE
"5","1_34_5",0,0.0227856840374497,0.0519727529249565,0.0519727529249565,0.3742137851711,0.545577071226239,0.46976233049082,0.545654988430265,0.902767851382782,0.374132246109542,0.185014617808813,0.770685613991667,0.524965353220578,0.216664180810224,0.862829121157542,0.307577727870059,0.498886317808596,0.268148982165261,0.520432712498218,0.927972783914693,0.581481764731609,0.585397572133079,2,47,FALSE
"6","1_37_5",0,0.0284489310626698,0.0517314970273953,0.0517314970273953,0.78341586555675,0.614311493633444,0.400277613118866,0.500588010114499,0.578114492483991,0.461875895215866,0.616894587401054,0.98944286885412,0.56107670261996,0.585624145165865,0.429154676939849,0.757556600711845,0.549615424502006,0.155613985372156,0.346859959145023,0.409445553261739,0.000226824580625679,0.748661572285378,1,50,FALSE
"7","1_37_7",0,0.0322502492211345,0.0516038172491858,0.0516038172491858,0.79698065552245,0.589994611823329,0.284102227993599,0.57201321971354,0.734210810793036,0.524442161481896,0.944450440488191,0,0.729211359770794,0.375866700404036,0.77622045948874,0.533022554929577,0.729916626694635,0.407750281600159,0.90189595120336,0.733493698239823,0.760915264841157,0.622809158509909,1,50,FALSE
"8","1_38_7",0,0.0246324127692452,0.0518788892793373,0.0518788892793373,0.533767107555758,0.622586890977695,0.457259589088557,0.537371767634284,0.902767851382782,0.374132246109542,0.282017873022173,0.982986154225466,0.591276267490957,0.233620460377548,0.596917328244553,0.307577727870059,0.326503808470413,0.177709919918453,0.494884050341127,0.868004923500083,0.610822265797091,0.585397572133079,2,47,FALSE
"9","1_41_7",0,0.0284568361929539,0.051729651985283,0.051729651985283,0.546823249701397,0.614311493633444,0.400277613118866,0.500588010114499,0.578114492483991,0.461875895215866,0.922307618919157,0.637824647201833,0.56107670261996,0.585624145165865,0.429154676939849,0.757556600711845,0.721979535476779,0.263282030032479,0.346859959145023,0.409445553261739,0.000226824580625679,0.748661572285378,1,50,FALSE
"10","1_43_2",0,0.0250884046696903,0.0518798596646354,0.0518798596646354,0.807676858923698,0.599781714414193,0.402881888458956,0.349529854238399,0.219258514147936,0.374132246109542,0.893503721217267,0.382611951967254,0.605770603505696,0.120154083803484,0.958413114664542,0.721162974642918,0.605279871320723,0.272273225203342,0.952118978155331,0.649985824705808,0.850517280423758,0.580789242785182,1,50,FALSE
"11","1_44_5",0,0.0317420671901497,0.051580105740207,0.051580105740207,0.87144375236479,0.768888325067021,0.379742206265949,0.736435962708127,0.00340482019580842,0.0917319285782445,0.858101060522125,0.38284546014095,0.500783830030018,0.466692127450044,0.514008980064318,0.903297612812243,0.65567504011711,0.320000469351686,0.00720090575404703,0.249677211779839,0.176081776874794,0.322195935436047,1,50,FALSE
"12","1_45_1",0,0.0324032357913492,0.0515886349198223,0.0515886349198223,0.668610722796914,0.719609851474087,0.551298356433708,0.616965709934938,0.582697214980187,0.470857840179133,0.996045253093974,0.787292938552228,0.516499355374735,0.843186913259526,0.0635190692877891,0.917505213987665,0.155676326035515,0.287224944227163,0.291184560029501,0.20351618254766,0.488798968387345,0.655058863911254,1,50,FALSE
"13","1_51_2",0,0.0295576325020729,0.0516788855613879,0.0516788855613879,0.57335345390795,0.636542560024791,0.0776755920820568,0.477713430194471,0.585913410292277,0.125960481732551,0.568898873995642,0.420617743364768,0.552233762457986,0.161774171299615,0.354985596663329,0.580801700854733,0.319451574839995,0.504746668237881,0.205328640891881,0.880156328613582,0.323868859719361,0.983773240923062,1,50,FALSE
"14","1_51_7",0,0.0184307486754268,0.0522075537731287,0.0522075537731287,0.952362579812103,0.61127870422693,0.187711033644907,0.553171792884242,0.572261912878513,0.221481868772467,0.169064200761674,0.915909059400359,0.331216706803799,0.659318880169439,0.85160146547744,0.69023679636684,0.419285054346074,0.244780029972876,0.250998680802199,0.699610422527317,1,0.84663095523854,1,50,FALSE
