"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitSim","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"facebook_I","5_277_2","revenue","facebook_I",2016-01-04,2018-12-31,"157 weeks",0.1,212.788549039596,10,21278.8549039596,3,0,0,28,59580.793731087,334078.021992166,12576779.0131033,2127.88549039596,80106.8726949253,0.0265630827769259,334078.021992166,12576779.0131033,2127.88549039596,80106.8726949253,0.0265630827769259,2127.88549039596,80106.8726949253,0.0265630827769259,12576779.0131033,9569.30207512756,9569.30207512756,285597.678167817,6.12594880936922,44838835.4723473,0.0335062320412305,4.4970944716329,0.222365797807423,80106.8726949253,0,15872.1435347261,6.45911544881702,255433.73120374,2.18866187894414,0.0621380091811999,40103095.7989871,1915.09694135637,-0.1,72096.1854254328,-0.1,0.0265630827769259,11319101.1117929,53434.8495768538,1.01314694251778,728539.543270758,114380708.293509,0.0733451602873325,3.36658054155984,0.297037301693863,4.58398607937575,8277.58526360233,6.00712531282261,271569.447477114,42636403.2539068,0.0304805468380235,4.32228002919775,0.231359373581727,-0.134985477664317,1.55092950315468,-0.0491188541191865
"ooh_S","5_277_2","revenue","ooh_S",2016-01-04,2018-12-31,"157 weeks",0.1,5248.21265392781,10,524821.265392781,3,0,0,28,1469499.54309979,8239693.86666667,12576779.0131033,52482.1265392781,80106.8726949253,0.655151359349006,8239693.86666667,12576779.0131033,52482.1265392781,80106.8726949253,0.655151359349006,52482.1265392781,80106.8726949253,0.655151359349006,12576779.0131033,108043.317024742,108043.317024742,285597.678167817,0.35420795873506,44838835.4723473,0.378306006259812,2.05866881068322,0.485750789447344,80106.8726949253,0,71942.1638651684,0.370793613161354,255433.73120374,2.18866187894414,0.28164707740884,40103095.7989871,47233.9138853503,-0.1,72096.1854254328,-0.1,0.655151359349006,11319101.1117929,114312.151446524,0.293702354247216,728539.543270758,114380708.293509,0.156905898248602,1.58894513738514,0.629348349714362,0.0580214916980648,106131.145123167,0.374861412448809,271569.447477114,42636403.2539068,0.390806646731168,2.24692676073332,0.445052334359859,-0.0176981969290829,1.55092950315468,-0.0491188541191865
"print_S","5_277_2","revenue","print_S",2016-01-04,2018-12-31,"157 weeks",0.1,383.206992215145,10,38320.6992215145,3,0,0,28,107297.957820241,601634.977777778,12576779.0131033,3832.06992215145,80106.8726949253,0.0478369682055284,601634.977777778,12576779.0131033,3832.06992215145,80106.8726949253,0.0478369682055284,3832.06992215145,80106.8726949253,0.0478369682055284,12576779.0131033,51385.4759971784,51385.4759971784,285597.678167817,8.69297972736967,44838835.4723473,0.179922597154254,13.4093263017312,0.0745749620449536,80106.8726949253,0,27406.7694800779,6.15194921722378,255433.73120374,2.18866187894414,0.107295028541934,40103095.7989871,3448.86292993631,-0.1,72096.1854254328,-0.1,0.0478369682055284,11319101.1117929,153674.40692689,2.29496293811826,728539.543270758,114380708.293509,0.210934887949902,5.60716968260696,0.178343095822823,1.99061950764704,47989.2740579453,9.03593955366523,271569.447477114,42636403.2539068,0.176710872683826,13.9145205341146,0.0718673703163738,-0.0660926433652103,1.55092950315468,-0.0491188541191865
"search_clicks_P","5_277_2","revenue","search_clicks_P",2016-01-04,2018-12-31,"157 weeks",0.1,515.898089171975,10,51589.8089171975,3,0,0,28,144451.464968153,809960,12576779.0131033,5158.98089171975,80106.8726949253,0.0644012269879381,809960,12576779.0131033,5158.98089171975,80106.8726949253,0.0644012269879381,5158.98089171975,80106.8726949253,0.0644012269879381,12576779.0131033,8012.08492614807,8012.08492614807,285597.678167817,3.10480746175654,44838835.4723473,0.0280537467165268,1.55303636402445,0.643899926083286,80106.8726949253,0,42723.8490780805,7.28145131272981,255433.73120374,2.18866187894414,0.167260012515743,40103095.7989871,4643.08280254777,-0.1,72096.1854254328,-0.1,0.0644012269879381,11319101.1117929,108768.043449745,0.41986530914437,728539.543270758,114380708.293509,0.149296005212612,2.54583905235141,0.392797808281074,12.5754980697686,6499.25001280091,2.76016682872432,271569.447477114,42636403.2539068,0.0239321840994232,1.39977043037755,0.714402860853601,-0.188819131011692,1.55092950315468,-0.0491188541191865
"tv_S","5_277_2","revenue","tv_S",2016-01-04,2018-12-31,"157 weeks",0.1,1650.580985138,10,165058.0985138,3,0,0,28,462162.675838641,2591412.14666667,12576779.0131033,16505.80985138,80106.8726949253,0.206047362680601,2591412.14666667,12576779.0131033,16505.80985138,80106.8726949253,0.206047362680601,16505.80985138,80106.8726949253,0.206047362680601,12576779.0131033,108587.498144621,108587.498144621,285597.678167817,3.54465344153869,44838835.4723473,0.380211417828176,6.57874403754518,0.152004697901751,80106.8726949253,0,97488.8052456866,4.90633274728629,255433.73120374,2.18866187894414,0.381659872352283,40103095.7989871,14855.228866242,-0.1,72096.1854254328,-0.1,0.206047362680601,11319101.1117929,298350.091870745,1.56439655041322,728539.543270758,114380708.293509,0.409518048301552,3.06035232577584,0.326759762782047,1.7475547090457,102672.193019598,3.62335545670066,271569.447477114,42636403.2539068,0.378069749647559,6.91151876178205,0.144685999483876,-0.0544750107157317,1.55092950315468,-0.0491188541191865
