"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_I",1,49,1.95794954529523,0.198725586938613,"[0, 4.76]",0,4.75676873782662,1.3768112533665,0.0758625378238345
"2","facebook_I",2,53,3.37110580452327,0.235906947732495,"[0, 6.83]",0,6.8281694412935,1.70114919257543,0.103338058852973
"3","facebook_I",3,42,3.08449328846842,0.197264110798888,"[0.51, 5.67]",0.50785316794367,5.6714864118611,1.263106609032,0.0776752167876911
"4","ooh_S",1,49,1.53921794956182,0.0337878112267364,"[1.06, 2.01]",1.06372905475382,2.01481832166513,0.234088822885014,0.0143360294210237
"5","ooh_S",2,53,1.84004397315806,0.0372048833555613,"[1.3, 2.39]",1.29831331357079,2.38533651982405,0.268288229272266,0.0163999966141191
"6","ooh_S",3,42,1.41026714926514,0.0243709090754992,"[1.09, 1.73]",1.09107672202592,1.72901555325627,0.156049958589601,0.00959635099403587
"7","print_S",1,49,10.0938561860813,0.0619045462976204,"[9.22, 10.96]",9.22220864842367,10.964752702597,0.428887277627914,0.0262658445396887
"8","print_S",2,53,11.2669469671614,0.0661012156420022,"[10.3, 12.23]",10.3028905057807,12.2341841662852,0.476662644735482,0.0291375651512679
"9","print_S",3,42,10.3790102735958,0.0811447084359962,"[9.32, 11.44]",9.3155641404584,11.4396277237996,0.519579649325949,0.0319517462827583
"10","search_clicks_P",1,49,2.76282769261534,0.229219748803779,"[0, 5.99]",0,5.98652303570554,1.58808100410528,0.0925523741809707
"11","search_clicks_P",2,53,3.51629161591142,0.190551529558896,"[0.74, 6.31]",0.740755871586665,6.30814154615059,1.37408662088538,0.0839955446094414
"12","search_clicks_P",3,42,1.34539485843626,0.178354734845085,"[0, 3.68]",0,3.67754588734159,1.14202752554747,0.0602181912973388
"13","tv_S",1,49,5.14792558334,0.0341952089102816,"[4.67, 5.63]",4.66559586170719,5.62815291981646,0.236911356832159,0.0145088865835717
"14","tv_S",2,53,5.2917789828592,0.0428582703477375,"[4.67, 5.92]",4.66713876770725,5.91933821697398,0.309055382632931,0.018892022369016
"15","tv_S",3,42,5.27328129816626,0.0374352953994153,"[4.78, 5.76]",4.78451141274021,5.76442679135342,0.239702847307454,0.0147406169012941
