"","facebook_I_alphas","facebook_I_gammas","facebook_I_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_clicks_P_alphas","search_clicks_P_gammas","search_clicks_P_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","tv_S_inflexion","ooh_S_inflexion","print_S_inflexion","facebook_I_inflexion","search_clicks_P_inflexion","newsletter_inflexion","tv_S_inflation","ooh_S_inflation","print_S_inflation","facebook_I_inflation","search_clicks_P_inflation","newsletter_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.956229398,0.56608638791,0.020093484729,1.18503367325,0.52008085302,0.37599414673,0.510410509075,0.48778310677,0.39953447128,0.8902531593,0.41723359851,0.24426313279,2.6623335235,0.50461498827,0.1267360176,0.9419793836,0.98099712492,0.320602425235,1,155662.526036776,250697.139168882,11683.9755322542,7171.47244730399,9938.36279622504,59897.1626586747,1.47158371442027,1.66521468950996,1.32279526964469,1.0199896969384,1.14483119448282,1.59523136591826,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,1,0.0569920539855957,571.195225000381,"1_223_5",1,223,5,1559,FALSE,TRUE,3,0.0540221387530947,3,FALSE
"2",1.89357729975,0.51305325349,0.22613581116,2.9082769945,0.79183799238,0.28303880704,0.58763938335,0.41008349737,0.36284604844,0.9033365628,0.89816511622,0.15020359006,2.75070179375,0.48955785611,0.2069571495,0.93586485815,0.51741142507,0.3001874643335,1,82022.7465533135,206527.398241078,25147.3091278623,6795.98437902633,10407.1024591628,81069.6790348215,1.42870742237884,1.56937647558176,1.17662825354669,1.28482315160108,1.26001360651276,1.39085219843336,0.950558599170773,NA,NA,0.0496341464600773,NA,NA,0.0496341464600773,0.493069784980247,0,9470.24699785275,4.463013985e-05,65481090.2533626,1e-04,1,0.0588619709014893,572.110535144806,"1_225_5",1,225,5,1573,FALSE,TRUE,3,0.127992150111807,3,FALSE
"3",1.95241998425,0.80584438632,0.18057344817,0.7088960228,0.57914592041,0.3703070251,0.517468574195,0.326764422979,0.39959165833,0.9694965543,0.73299728689,0.21791573086,2.45433002125,0.70189460269,0.07029518655,0.98895441785,0.81283230089,0.3007771274755,1,128857.613630961,167947.603552053,20524.6653160848,10482.8964471228,13153.3643469889,66203.9819268569,1.42991085470414,1.66537320385978,1.27832638321845,1.21480668144754,1.07552878778522,1.58101868328396,0.949174597543387,NA,NA,0.050324050259471,NA,NA,0.050324050259471,0.390688110418484,0,15612.6509877631,0.0001384437625,65481090.2533626,1e-04,1,0.062920093536377,572.533061027527,"1_226_4",1,226,4,1579,FALSE,TRUE,2,0.0617742326563517,3,FALSE
"4",1.6146363215,0.76273255931,0.16901032797,1.32490049775,0.50435811949,0.37270935463,0.547595975435,0.309985531346,0.39705885064,0.9320569113,0.79814350621,0.1013569697677,1.57372435775,0.94997954637,0.28731562857,0.99700994445,0.88710108786,0.311054218215,1,140696.288265799,159058.141726645,22346.5700924963,9882.67163961633,22113.0497453634,57836.4331190915,1.45121493321785,1.65838140486703,1.11273784317781,1.19825652832682,1.40090121690776,1.58699134011293,0.945264427303663,NA,NA,0.0523911021213124,NA,NA,0.0523911021213124,0.356347209628455,0,56646.7694700225,0.0007651624403,65481090.2533626,1e-04,1,0.0539088249206543,580.133506059647,"1_241_7",1,241,7,1687,FALSE,TRUE,2,0.0398933471740142,1,FALSE
"5",1.6146363215,0.76273255931,0.16901032797,1.32490049775,0.50435811949,0.37270935463,0.547595975435,0.309985531346,0.39705885064,0.9276715321,0.8052823433,0.1013569697677,1.57372435775,0.94997954637,0.28731562857,0.99700994445,0.88710108786,0.311054218215,1,140696.288265799,159058.141726645,22546.4445789381,9882.67163961633,22113.0497453634,57836.4331190915,1.45121493321785,1.65838140486703,1.11273784317781,1.19825652832682,1.40090121690776,1.58699134011293,0.945260182512378,NA,NA,0.0523931335697038,NA,NA,0.0523931335697038,0.35644081798563,0,56646.7694700225,0.0007651624403,65481090.2533626,1e-04,1,0.152653932571411,585.190039157867,"1_246_2",1,246,2,1717,FALSE,TRUE,3,0.0399538827462961,1,FALSE
"6",1.69708776675,0.78515430761,0.11291700963,0.67156382415,0.78101191852,0.36096452506,0.52050123375,0.51438730852,0.39823669528,0.85549003545,0.87072582224,0.13818605653,2.9160602275,0.60885078672,0.08970538824,0.96593778225,0.93436154061,0.307700236645,1,148168.757143669,264144.128599882,24378.9250063237,10014.9623944343,11601.6762345874,88199.6115057355,1.4441929341477,1.66162552709282,1.1602408684603,1.1240861621196,1.09840743677712,1.55821250243721,0.944586056141483,NA,NA,0.0527147597459611,NA,NA,0.0527147597459611,0.352096300279072,0,60612.7929777357,0.0008257359606,65481090.2533626,1e-04,1,0.155496120452881,589.848224163055,"1_249_4",1,249,4,1740,FALSE,TRUE,3,0.0372612351530157,3,FALSE
"7",2.0419094885,0.75316100802,0.23471722311,0.6087677417,0.53177732816,0.38155726054,0.510507598475,0.49497882537,0.37052944303,0.9491295682,0.99940075296,0.104124333463,1.440852174,0.94962405844,0.09220765593,0.99144304645,0.346494113316,0.3038548018335,1,54936.7162118764,249775.741155057,27981.4156612673,10014.7984556201,18134.6727163768,61694.9225973072,1.43622500624695,1.58852361055767,1.11617213043153,1.29894094212836,1.10142693585029,1.60938351085109,0.95039980975397,NA,NA,0.0497137867927296,NA,NA,0.0497137867927296,0.464437740718649,0,7712.29296063287,1.778071136e-05,65481090.2533626,1e-04,1,0.179880142211914,596.617156028748,"1_254_4",1,254,4,1775,FALSE,TRUE,3,0.109469699930989,1,FALSE
"8",1.6146363215,0.76273255931,0.16901032797,1.32490049775,0.50435811949,0.37270935463,0.547595975435,0.309985531346,0.39705885064,0.9320569113,0.79814350621,0.1013569697677,1.57372435775,0.94997954637,0.28731562857,0.98660547665,0.99779883803,0.308448909365,1,158233.929211572,159058.141726645,22346.5700924963,9882.67163961633,22113.0497453634,57836.4331190915,1.44575449253626,1.65838140486703,1.11273784317781,1.19825652832682,1.40090121690776,1.58699134011293,0.945186613251379,NA,NA,0.0524283294295278,NA,NA,0.0524283294295278,0.353316889278465,0,56646.7694700225,0.0007651624403,65481090.2533626,1e-04,1,0.151942014694214,596.964468002319,"1_254_6",1,254,6,1777,FALSE,TRUE,2,0.0379609103987584,1,FALSE
"9",1.42164225,0.68072356952,0.23619925476,1.272740738,0.75889353412,0.36599235334,0.519926511135,0.4640272641,0.39927788242,0.92366622755,0.92235972463,0.118848507886,1.94031753175,0.5553513221,0.25530483537,0.98186467755,0.91926137924,0.305124793595,1,145757.27085305,238447.33374769,25824.4605475814,9057.71057347326,12440.299042653,86264.0764127034,1.43884676911788,1.66450383270909,1.13480590420475,1.30141115001757,1.34119999114045,1.57040366459544,0.949324742213402,NA,NA,0.0502496634757519,NA,NA,0.0502496634757519,0.397127437971822,0,30649.1847287664,0.0003680984229,65481090.2533626,1e-04,1,0.152491807937622,600.332041978836,"1_257_3",1,257,3,1795,FALSE,TRUE,2,0.0659362889918508,3,FALSE
"10",1.7758878125,0.349036902761,0.09061798497,2.70060182125,0.94738476558,0.27763273774,0.547595975435,0.309985531346,0.39705885064,0.9320569113,0.79814350621,0.1013569697677,2.43034583675,0.3026032851712,0.26986740516,0.86761122225,0.93101942785,0.3003352225554,1,147590.956090107,159058.141726645,22346.5700924963,4431.97939242439,6896.36310886582,96357.5639552605,1.42900878947159,1.65838140486703,1.11273784317781,1.09714040107953,1.36772238851985,1.3805638448265,0.950037348049213,NA,NA,0.0498951020630399,NA,NA,0.0498951020630399,0.445217323533706,0,21866.1685788831,0.0002339544356,65481090.2533626,1e-04,1,0.160056114196777,608.210023164749,"1_263_3",1,263,3,1837,FALSE,TRUE,3,0.0970369577240264,3,FALSE
