"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_I_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_clicks_P_thetas","tv_S_thetas","facebook_I_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_clicks_P_alphas","tv_S_alphas","facebook_I_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_clicks_P_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_223_5",0,0.378513221764947,0.0516530996937342,0.0516530996937342,0.0619944719973107,0.809910259937617,0.990410145208356,1,0.424388411272154,0.290637814445407,0.578941550500098,0.273880403651091,0.11846985348711,0.555603512771001,0.784438935353824,0.562175782453418,0.352174722520945,0.294769617360183,0.456446772330931,0.166175899337712,0.289867996496828,0.971545764345595,3,42,FALSE
"2","1_225_5",0,0.493069784980247,0.0496341464600773,0.0496341464600773,0.761716354027531,0.0592452848849589,0,0.341809053292388,0.693945857621981,0.00202739356675764,0.553596492408039,1,1,0.608620518734758,0.841189299870109,0.515953876912316,0.271737853455597,0.698865788386897,0.262886550487904,0.855002617178818,0.268262412932827,0.26170717435707,3,42,FALSE
"3","1_226_4",0,0.390688110418484,0.050324050259471,0.050324050259471,0.606986095767788,0.76398365657365,0.991953919241423,0.815631450927077,0.234737057229118,0.0103635803667409,0.577400503743688,0.0732512328962111,0.199034243914141,0.876716252686373,0.650858471008915,0.91727702680158,0.71582252377559,0.382597917400226,0.0553274823353982,0.618436682984986,0.572945886066542,0.714053176429817,3,42,FALSE
"4","1_241_7",0,0.356347209628455,0.0523911021213124,0.0523911021213124,0.567717619389003,0.783383775412652,0.923580349655791,0,0.963964815191254,0.155652885501645,0.440754696275506,0.332815808127154,0.542923918319858,0.725002077073587,0.0853309093926429,0.978171660838801,0.650433584911295,0.271390299957486,0.0135289969653598,0.711744055825981,0.928924695622834,0.827772928872571,1,49,FALSE
"5","1_246_2",0,0.35644081798563,0.0523931335697038,0.0523931335697038,0.567717619389003,0.783383775412652,0.923580349655791,0,0.963964815191254,0.155652885501645,0.440754696275506,0.332815808127154,0.542923918319858,0.707231496566784,0.0853309093926429,0.978171660838801,0.650433584911295,0.271390299957486,0.0135289969653598,0.721968841561218,0.928924695622834,0.827772928872571,1,49,FALSE
"6","1_249_4",0,0.352096300279072,0.0527147597459611,0.0527147597459611,0.377224127308728,0.688537882475635,0.955376463814819,0.257715174653125,0.299958829557308,0.108236971397895,0.474109312130458,0.057520638916661,0.233650581999341,0.414735217722677,0.94738297509546,0.743285968087913,0.684441290696514,0.682767683275911,0.522721432299642,0.815701972250994,0.43943666799687,0.900137743303073,3,42,FALSE
"7","1_254_4",0,0.464437740718649,0.0497137867927296,0.0497137867927296,0.79085891819937,0.854835432642333,0.207414529230687,0.0193649009725925,0.308366899508762,0.0538732836708771,0.613602271077886,0.031060379080684,0.119578081903106,0.794184469306959,0,0.936089468914496,0.635916139802947,0.312161987730707,0.474372279283814,1,0.928414603521895,0,1,49,FALSE
"8","1_254_6",0,0.353316889278465,0.0524283294295278,0.0524283294295278,0.567717619389003,0.783383775412652,0.923580349655791,0,0.963964815191254,0.118821108681434,0.440754696275506,0.332815808127154,0.542923918319858,0.725002077073587,0.0853309093926429,0.899520532179744,0.650433584911295,0.271390299957486,0.0135289969653598,0.711744055825981,0.928924695622834,0.997272408517866,1,49,FALSE
"9","1_257_3",0,0.397127437971822,0.0502496634757519,0.0502496634757519,0.795891913086048,0.729140333103668,0.983483485776858,0.122398766773764,0.856402786754899,0.0718274134175572,0.362681557622237,0.310837354342779,0.227090402069731,0.691001067289416,0.320758129986926,0.863683120105592,0.526048208748578,0.649878190597314,0.397267759556212,0.889655976517519,0.362669914461469,0.877016501084108,3,42,FALSE
"10","1_263_3",0,0.445217323533706,0.0498951020630399,0.0498951020630399,0.301496407801743,0.0155883320971887,0.923580349655791,0,0.905335643122182,0.00411628135922564,0.505986803754461,0.912492327048397,0.542923918319858,0.725002077073587,0.635455756786376,0,0.0229695716549768,0.930160007974685,0.0135289969653598,0.711744055825981,0,0.895020327882561,3,42,FALSE
